family,account,status,strict_formal_ready,project_primary_required,strict_candidate_ids,strict_candidate_blockers,required_next_evidence
tes_ownership,salt_inventory,direct_candidate_incomplete,False,False,wang2025_hitec_salt,wang2025_hitec_salt:allowed_use|price_base|source_provenance,"Resolve every candidate's price basis, denominator, provenance, technology boundary, and allowed-use blockers; then select one."
tes_ownership,storage_vessels,direct_candidate_incomplete,False,False,trevisan2022_tes_components|klasing2025_tes_components,trevisan2022_tes_components:allowed_use|price_base|source_provenance;klasing2025_tes_components:allowed_use|price_base|source_provenance,"Resolve every candidate's price basis, denominator, provenance, technology boundary, and allowed-use blockers; then select one."
tes_ownership,salt_circulation,direct_candidate_incomplete,False,False,trevisan2022_tes_components|klasing2025_tes_components,trevisan2022_tes_components:allowed_use|price_base|source_provenance;klasing2025_tes_components:allowed_use|price_base|source_provenance,"Resolve every candidate's price basis, denominator, provenance, technology boundary, and allowed-use blockers; then select one."
tes_ownership,transformer_and_electrical_connection,direct_candidate_incomplete,False,False,trevisan2022_tes_components,trevisan2022_tes_components:allowed_use|price_base|source_provenance,"Resolve every candidate's price basis, denominator, provenance, technology boundary, and allowed-use blockers; then select one."
tes_ownership,electric_heater,direct_candidate_incomplete,False,False,guccione2023_electric_heater_quote|guccione2024_electric_heater_quote|trevisan2022_tes_components|klasing2025_tes_components,guccione2023_electric_heater_quote:allowed_use|price_base;guccione2024_electric_heater_quote:allowed_use|price_base;trevisan2022_tes_components:allowed_use|price_base|source_provenance;klasing2025_tes_components:allowed_use|price_base|source_provenance,"Resolve every candidate's price basis, denominator, provenance, technology boundary, and allowed-use blockers; then select one."
tes_ownership,high_grade_steam_charge_hx,no_direct_candidate,False,False,,,"Obtain an Energy-or-higher direct component source with explicit price basis, denominator, topology boundary, and lifecycle scope."
tes_ownership,medium_grade_steam_charge_hx,no_direct_candidate,False,False,,,"Obtain an Energy-or-higher direct component source with explicit price basis, denominator, topology boundary, and lifecycle scope."
tes_ownership,salt_to_steam_generator,direct_candidate_incomplete,False,False,trevisan2022_tes_components|klasing2025_tes_components,trevisan2022_tes_components:allowed_use|price_base|source_provenance;klasing2025_tes_components:allowed_use|price_base|source_provenance,"Resolve every candidate's price basis, denominator, provenance, technology boundary, and allowed-use blockers; then select one."
tes_ownership,heat_delivery_hx,no_direct_candidate,False,False,,,"Obtain an Energy-or-higher direct component source with explicit price basis, denominator, topology boundary, and lifecycle scope."
tes_ownership,power_block_retrofit,no_direct_candidate,False,False,,,"Obtain an Energy-or-higher direct component source with explicit price basis, denominator, topology boundary, and lifecycle scope."
tes_ownership,project_additions,direct_candidate_incomplete,False,False,trevisan2022_tes_components|klasing2025_tes_components,trevisan2022_tes_components:allowed_use|price_base|source_provenance;klasing2025_tes_components:allowed_use|price_base|source_provenance,"Resolve every candidate's price basis, denominator, provenance, technology boundary, and allowed-use blockers; then select one."
tes_ownership,lifecycle_terms,direct_candidate_incomplete,False,False,trevisan2022_tes_components|klasing2025_tes_components,trevisan2022_tes_components:allowed_use|price_base|source_provenance;klasing2025_tes_components:allowed_use|price_base|source_provenance,"Resolve every candidate's price basis, denominator, provenance, technology boundary, and allowed-use blockers; then select one."
nonfuel_operating,time_varying_electricity_settlement,project_primary_required,False,True,shaanxi2024_market_mechanism_without_yangling_curve,shaanxi2024_market_mechanism_without_yangling_curve:allowed_use|project_scope|numerical_input|variable_driver,"Yangling 2024 contract positions, hourly settlement prices, imbalance settlement, and auxiliary-service bills."
nonfuel_operating,carbon_compliance_allowance,project_primary_required,False,True,yangling_ets_entity_status_without_2024_allowance_ledger,yangling_ets_entity_status_without_2024_allowance_ledger:allowed_use|numerical_input|variable_driver,"Yangling 2024 verified emissions, free allocation, allowance holdings, CCER use, purchases, and actual compliance cost."
nonfuel_operating,chp_variable_om,project_primary_required,False,True,yangling2024_annual_om_label_fuel_overlap_risk,yangling2024_annual_om_label_fuel_overlap_risk:allowed_use|cost_boundary|variable_driver,"The H-column account breakdown, fuel inclusion statement, fixed-variable split, and auditable activity drivers."
nonfuel_operating,tes_variable_om,project_primary_required,False,True,klasing2025_aggregate_tes_om_sensitivity,klasing2025_aggregate_tes_om_sensitivity:allowed_use|project_scope|cost_boundary|variable_driver|technology_boundary,A project-specific dual-service TES O&M boundary and activity driver; public aggregate CSP O&M remains sensitivity-only.
