evidence_id,asset,source,doi,journal,official_if,official_citescore,venue_gate,source_type,technology_fit,capacity_denominator,price_basis_status,provenance_status,allowed_use,formal_candidate,blocking_reason,access_status
rahman2021_bess_component_package,BESS,"Rahman et al. (2021) + Rahman UAlberta dissertation Chapter 3",10.1016/j.apenergy.2020.116343,Applied Energy,11.0,20.1,core_peer_reviewed_plus_author_official_expansion,author_bottom_up_lcos,direct_candidate,"5-100 MW; S1 50 MW/250 MWh; S2 10 MW/50 MWh; S3 50 MW/12.5 MWh; S4 15 MW/3.75 MWh",explicit_2019_USD,author_bottom_up_with_official_same_author_table,formal_candidate,true,"source qualified; formal TAC still requires cell-lifetime join, PCS scale treatment and VOM throughput-side decision",open_official_dissertation_chapter_crosswalk_verified
guccione2023_eh_quote,electric_heater,"Guccione and Guedez (2023)",10.1016/j.energy.2023.128528,Energy,9.4,16.5,core_peer_reviewed,real_quotation,direct_component,140_EUR_per_kWe,"2021 FX year only; quotation price year missing",real_quotation,blocked_pending_quote_price_year,false,"quotation date/original currency/inflation chain not disclosed",open_full_text_verified
guccione2024_eh_quote,electric_heater,"Guccione and Guedez (2024)",10.1016/j.energy.2024.133500,Energy,9.4,16.5,core_peer_reviewed,real_quotation,direct_component,"15_EUR_per_kW_electrical + 125_EUR_per_kW_thermal","2021 FX year only; quotation price year missing",real_quotation,blocked_pending_quote_price_year_and_formula_scaling,false,"quotation price year missing and temperature factor scaling ambiguous",open_full_text_and_table_image_verified
guccione2024_molten_salt_tes,molten_salt_tes,"Guccione and Guedez (2024)",10.1016/j.energy.2024.133500,Energy,9.4,16.5,core_peer_reviewed,literature_engineering_synthesis,partial_direct_two_tank,"18-23_EUR_per_kWh_th; deltaT 275-98 C","2021 FX year reported; underlying price years mixed",NREL_and_legacy_sources,official_engineering_sensitivity_anchor,false,"not author bottom-up; two-tank CSP boundary differs from CHP three-tank dual-service topology",open_full_text_verified
ahmadi2025_bess_table,BESS,"Ahmadi et al. (2025)",10.1016/j.apenergy.2025.126706,Applied Energy,11.0,20.1,core_peer_reviewed,official_projection_reuse,utility_scale_planning,"USD/kWh, USD/kW, USD/kW-year and USD/MWh",scenario_year_2030_not_price_base,PNNL_2030_projection,official_projection_sensitivity_only,false,"not author bottom-up and price basis not independently closed",open_full_text_verified
schmidt2019_bess,BESS,"Schmidt et al. (2019)",10.1016/j.joule.2018.12.008,Joule,,,above_energy,system_level_literature_synthesis,partial_direct,"USD/kW and USD/kWh","2015 input vs US$2018 output ambiguity",mixed_reused_sources,nonprice_direct_cost_blocked,false,"price basis and component boundary unresolved",full_text_verified_in_prior_session
bahloul2022_bess,BESS,"Bahloul et al. (2022)",10.1016/j.energy.2022.123229,Energy,9.4,16.5,core_peer_reviewed,secondary_transcription,partial_direct,mixed,"underlying report basis; transcription chain",PNNL_via_low_tier_secondary,structure_audit_only,false,"secondary transcription and VOM unit risk",full_text_verified_in_prior_session
trevisan2022_tes,molten_salt_tes,"Trevisan et al. (2022)",10.1016/j.enconman.2022.116362,Energy Conversion and Management,10.9,19.8,core_peer_reviewed,mixed_literature_ledger,partial_direct_component,"EUR/kW_e, EUR/kW_th, EUR/kWh_th, EUR/kg",mixed_and_unharmonized,mixed_2011_2022_sources,blocked_pending_price_base,false,"common price year, scale and project adders unresolved",full_text_verified_in_prior_session
vecchi2023_tmes,thermal_storage,"Vecchi and Sciacovelli (2023)",10.1016/j.apenergy.2022.120628,Applied Energy,11.0,20.1,core_peer_reviewed,author_normalized_cost_functions,topology_mismatch,component_specific,explicit_2020_USD,author_normalized,methodology_and_sensitivity_only,false,"TMES/PTES/TCES topology and materials differ",full_text_verified_in_prior_session
xue2024_aggregate,molten_salt_peaking_system,"Xue et al. (2024)",10.1016/j.apenergy.2024.123021,Applied Energy,11.0,20.1,core_peer_reviewed,aggregate_project_cost,topology_mismatch,74.28_USD_per_kWh,price_year_not_explicit,author_aggregate,aggregate_anchor_only,false,"135 MW steel-mill BFG boundary and included items differ",full_text_verified_in_prior_session
klasing2025_tes,molten_salt_tes,"Klasing et al. (2025)",10.1016/j.apenergy.2024.124524,Applied Energy,11.0,20.1,core_peer_reviewed,mixed_project_report_and_author_formula,partial_direct,mixed,"only selected author formulas explicit 2023 EUR",mixed_project_reports_and_literature,blocked_and_aggregate_anchor,false,"key heater/tank/steam-generator price years and boundaries unresolved",full_text_verified_in_prior_session
nrel2022_atb_bess,BESS,NREL_2022_ATB_utility_battery,,official_engineering,,,official_engineering_anchor,official_bottom_up,direct_utility_scale,"60 MW / 240 MWh; power and usable-energy denominators",explicit_2020_USD,official_bottom_up,official_engineering_sensitivity_anchor,false,"not Energy+ peer reviewed; FOM already includes augmentation",workbook_hash_verified_local_and_openbayes
killer2020_bess_context,BESS,"Killer et al. (2020)",10.1016/j.apenergy.2019.114166,Applied Energy,11.0,20.1,core_peer_reviewed,market_review,context_only,not_applicable,not_applicable,market_review,context_only,false,"no directly comparable component price basis",open_full_text_available
